Que fait la commande chmod 755 script.sh?|Donne tous les droits à tout le monde|Donne lecture/écriture/exécution au propriétaire et lecture/exécution aux autres|Donne uniquement les droits d'écriture|Rend le fichier caché|2
Que fait la commande tar -czf archive.tar.gz dossier/?|Décompresse une archive|Supprime le dossier dossier/|Crée une archive compressée du dossier|Copie le dossier vers archive.tar.gz|3
Quelle commande permet de modifier les permissions de tous les fichiers .txt d'un dossier en lecture seule pour tous?|chmod 444 *.txt|chmod 777 *.txt|chmod 111 *.txt|chmod 000 *.txt|1
Quelle commande permet de rechercher tous les fichiers appartenant à l'utilisateur root dans /var?|find /var -user root|grep root /var|ls -root /var|find /var -owner root|1
Que fait la commande gzip fichier.txt?|Décompresse le fichier|Crée une copie du fichier|Compresse fichier.txt en fichier.txt.gz|Convertit le fichier en binaire|3
Quelle commande permet d'afficher les permissions d'un fichier sous forme numérique?|ls -n|stat fichier.txt|chmod -v|perm fichier.txt|2
Que signifie la permission numérique 750?|Propriétaire: rwx, Groupe: r-x, Autres: ---|Propriétaire: rw-, Groupe: r--, Autres: ---|Propriétaire: rwx, Groupe: rwx, Autres: ---|Propriétaire: r--, Groupe: r-x, Autres: ---|1
Quelle commande permet de changer récursivement le propriétaire d'un dossier et de son contenu?|chmod -R user dossier/|chown -R user dossier/|owner -R user dossier/|mv -R user dossier/|2
Quelle commande permet de rechercher tous les fichiers .log modifiés il y a moins de 7 jours?|find / -name "*.log" -mtime -7|locate "*.log"|grep ".log"|ls "*.log" -7|1
Quelle commande permet de trouver les fichiers vides dans le répertoire courant?|find . -empty|ls -empty|grep empty|find . -size 0|1
Que fait la commande find . -perm 777?|Modifie les permissions à 777|Liste les fichiers ayant exactement les permissions 777|Supprime les fichiers avec les permissions 777|Cherche les fichiers sans permissions|2
Quelle commande permet de créer un lien physique (hard link) entre deux fichiers?|ln -s fichier lien|ln fichier lien|cp --link fichier lien|link fichier lien|2
Quelle est la différence entre un lien symbolique et un lien physique?|Il n'y a aucune différence|Le lien symbolique pointe vers l'inode, le lien physique vers le chemin|Le lien physique pointe vers le chemin, le lien symbolique vers l'inode|Le lien symbolique ne fonctionne qu'avec les dossiers|3
Que fait la commande rsync -av source/ destination/?|Supprime les fichiers de destination|Synchronise source vers destination en préservant les attributs|Compresse source vers destination|Renomme source en destination|2
Quelle commande affiche le numéro d'inode d'un fichier?|ls -i|stat -n|file -i|find -inode|1
Que fait la commande chmod o-w fichier.txt?|Retire le droit d'écriture aux autres|Ajoute le droit d'écriture aux autres|Retire tous les droits aux autres|Donne tous les droits aux autres|1
Quelle commande permet de lister les fichiers ouverts par un processus?|ls -p|lsof -p PID|find -open|ps -f|2
Que fait la commande find . -maxdepth 1 -type f?|Liste tous les fichiers récursivement|Liste uniquement les fichiers dans le répertoire courant sans descendre dans les sous-dossiers|Liste les dossiers du répertoire courant|Cherche les fichiers de type f uniquement dans /|2
Quelle commande permet de comparer le contenu de deux fichiers ligne par ligne?|cmp|diff fichier1 fichier2|compare fichier1 fichier2|cat fichier1 fichier2|2
Que fait la commande chmod u+s script.sh (setuid)?|Rend le script exécutable par tous|Exécute le script avec les droits du propriétaire quel que soit l'utilisateur qui le lance|Cache le script|Supprime les droits d'exécution|2
Quelle commande Linux permet de rechercher une chaîne de caractères dans plusieurs fichiers texte d'un dossier?|find|grep -r|chmod|touch|2
Quelle commande Linux permet d'afficher les différences ligne par ligne entre deux fichiers texte?|diff|cmp|locate|uniq|1
